Release Date,Season,Episode,Episode Title,Sentence,Character,word_count
2011-04-17,Season 1,Episode 1,Winter is Coming,The queen has two brothers?,ros,5
2011-04-17,Season 1,Episode 1,Winter is Coming,There's the pretty one. And there's the clever one.,tyrion lannister,9
2011-04-17,Season 1,Episode 1,Winter is Coming,I hear they call him the Imp.,ros,7
2011-04-17,Season 1,Episode 1,Winter is Coming,I hear he hates that nickname.,tyrion lannister,6
2011-04-17,Season 1,Episode 1,Winter is Coming,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,ros,20
2011-04-17,Season 1,Episode 1,Winter is Coming,Clever girl.,tyrion lannister,2
2011-04-17,Season 1,Episode 1,Winter is Coming,"We've been expecting you, Lord Tyrion.",ros,6
2011-04-17,Season 1,Episode 1,Winter is Coming,Have you?,tyrion lannister,2
2011-04-17,Season 1,Episode 1,Winter is Coming,The gods gave me one blessing.,tyrion lannister,6
2011-04-17,Season 1,Episode 1,Winter is Coming,Don't get up.,jaime lannister,3
2011-04-17,Season 1,Episode 1,Winter is Coming,M'lord.,ros,1
2011-04-17,Season 1,Episode 1,Winter is Coming,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",tyrion lannister,15
2011-04-17,Season 1,Episode 1,Winter is Coming,"You've much to teach me, no doubt. But our sister craves your attention.",jaime lannister,13
2011-04-17,Season 1,Episode 1,Winter is Coming,"She has odd cravings, our sister.",tyrion lannister,6
2011-04-17,Season 1,Episode 1,Winter is Coming,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",jaime lannister,18
2011-04-17,Season 1,Episode 1,Winter is Coming,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",tyrion lannister,17
2011-04-17,Season 1,Episode 1,Winter is Coming,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",jaime lannister,19
2011-04-17,Season 1,Episode 1,Winter is Coming,Close the door!,tyrion lannister,3
2011-04-17,Season 1,Episode 1,Winter is Coming,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,robert baratheon,26
2011-04-17,Season 1,Episode 1,Winter is Coming,She was my sister. This is where she belongs.,eddard stark,9
2011-04-17,Season 1,Episode 1,Winter is Coming,She belonged with me.,robert baratheon,4
2011-04-17,Season 1,Episode 1,Winter is Coming,"In my dreams, I kill him every night.",robert baratheon,8
2011-04-17,Season 1,Episode 1,Winter is Coming,"It's done, Your Grace. The Targaryens are gone.",eddard stark,8
2011-04-17,Season 1,Episode 1,Winter is Coming,Not all of them.,robert baratheon,4
2011-04-17,Season 1,Episode 1,Winter is Coming,Daenerys!,viserys,1
2011-04-17,Season 1,Episode 1,Winter is Coming,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,viserys,25
2011-04-17,Season 1,Episode 1,Winter is Coming,We've been his guests for over a year and he's never asked us for anything.,daenerys targaryen,15
2011-04-17,Season 1,Episode 1,Winter is Coming,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",viserys,51
2011-04-17,Season 1,Episode 1,Winter is Coming,No.,daenerys targaryen,1
2011-04-17,Season 1,Episode 1,Winter is Coming,"When they write the history of my reign, sweet sister, they will say it began today.",viserys,16
2011-04-17,Season 1,Episode 1,Winter is Coming,"It's too hot, my lady.",maid,5
2011-04-17,Season 1,Episode 1,Winter is Coming,Where is he?,viserys,3
2011-04-17,Season 1,Episode 1,Winter is Coming,The Dothraki are not known for their punctuality.,illyrio,8
2011-04-17,Season 1,Episode 1,Winter is Coming,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",illyrio,33
2011-04-17,Season 1,Episode 1,Winter is Coming,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",viserys,52
2011-04-17,Season 1,Episode 1,Winter is Coming,"Come forward, my dear.",illyrio,4
2011-04-17,Season 1,Episode 1,Winter is Coming,Where's he going?,viserys,3
2011-04-17,Season 1,Episode 1,Winter is Coming,The ceremony is over.,illyrio,4
2011-04-17,Season 1,Episode 1,Winter is Coming,But he didn't say anything. Did he like her?,viserys,9
2011-04-17,Season 1,Episode 1,Winter is Coming,"Trust me, Your Grace. If he didn't like her, we'd know.",illyrio,11
2011-04-17,Season 1,Episode 1,Winter is Coming,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.,illyrio,33
2011-04-17,Season 1,Episode 1,Winter is Coming,When will they be married?,viserys,5
2011-04-17,Season 1,Episode 1,Winter is Coming,Soon. The Dothraki never stay still for long.,illyrio,8
2011-04-17,Season 1,Episode 1,Winter is Coming,Is it true they lie with their horses?,viserys,8
2011-04-17,Season 1,Episode 1,Winter is Coming,I wouldn't ask Khal Drogo.,illyrio,5
2011-04-17,Season 1,Episode 1,Winter is Coming,Do you take me for a fool?,viserys,7
2011-04-17,Season 1,Episode 1,Winter is Coming,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.,illyrio,19
2011-04-17,Season 1,Episode 1,Winter is Coming,I know how to play a man like Drogo. I give him a queen and he gives me an army.,viserys,20
2011-04-17,Season 1,Episode 1,Winter is Coming,I don't want to be his queen. I want to go home.,daenerys targaryen,12
2011-04-17,Season 1,Episode 1,Winter is Coming,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",viserys,26
2011-04-17,Season 1,Episode 1,Winter is Coming,I don't know.,daenerys targaryen,3
2011-04-17,Season 1,Episode 1,Winter is Coming,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.",viserys,31
2011-04-17,Season 1,Episode 1,Winter is Coming,Do you think Joffrey will like me? What if he thinks I'm ugly?,sansa stark,13
2011-04-17,Season 1,Episode 1,Winter is Coming,Then he is the stupidest prince that ever lived.,catelyn stark,9
2011-04-17,Season 1,Episode 1,Winter is Coming,He's so handsome.,sansa stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,When would we be married? Soon or do we have to wait?,sansa stark,12
2011-04-17,Season 1,Episode 1,Winter is Coming,Hush now. Your father hasn't even said yes.,catelyn stark,8
2011-04-17,Season 1,Episode 1,Winter is Coming,Why would he say no? He'd be the second most powerful man in the kingdoms.,sansa stark,15
2011-04-17,Season 1,Episode 1,Winter is Coming,He'd have to leave home. He'd have to leave me. And so would you.,catelyn stark,14
2011-04-17,Season 1,Episode 1,Winter is Coming,You left your home to come here. And I'd be queen someday. Please make father say yes.,sansa stark,17
2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa…,catelyn stark,1
2011-04-17,Season 1,Episode 1,Winter is Coming,"Please, please. It's the only thing I ever wanted.",sansa stark,9
2011-04-17,Season 1,Episode 1,Winter is Coming,Is he dead yet?,benjen,4
2011-04-17,Season 1,Episode 1,Winter is Coming,Uncle Benjen!,jon snow,2
2011-04-17,Season 1,Episode 1,Winter is Coming,You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?,benjen,22
2011-04-17,Season 1,Episode 1,Winter is Coming,Lady Stark thought it might insult the royal family to seat a bastard in their midst.,jon snow,16
2011-04-17,Season 1,Episode 1,Winter is Coming,"Well, you're always welcome on the wall. No bastard was ever refused a seat there.",benjen,15
2011-04-17,Season 1,Episode 1,Winter is Coming,So take me with you when you go back.,jon snow,9
